factset_entity_id,fsym_id,security_name,report_date,adj_holding
000ZDR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,4450
0012DH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,10065
001J5S-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,77824
001PHW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1934
001XTZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,22
002H5C-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1610
002H62-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,3197
002HGG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1183
002HGW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,2500
002HMD-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,12758
002HVY-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,37400
002HY2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,10800
002JJ1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,33423
002JV7-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,5603
002PPX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,979
002T7P-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1117
002THL-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,10086
0034LR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,2265
003L6Z-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,66438
003RSS-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,3500
00494B-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1090
006CRS-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,10636
007RWM-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,28138
0080KY-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1923
0080TH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1415
0088VB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,3116
008K3J-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,67345
008ZRF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,11954
05FK8K-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,37
05FQH7-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,83640
05G36K-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,51434
05J8H4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1313
05LVK2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,23767
05PN7C-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1100
05Q3VB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,29
05T1GC-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,12196
05T6TV-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1302
05VYZJ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,32
07C70N-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,236
0C39C1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,181
0C3H65-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,2710
0C3PN7-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,448
0C792C-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,507
0C7CHJ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,940
0C7NFG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,316
0C7SF1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1025
0C89XM-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,39
0C8VZ4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1583
0C8Z9P-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,11577
0C93LL-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,233
0C9HSK-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,792
0CCRXC-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,25423
0CS6M1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,2915
0CVCK1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,24873
0CWMY3-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,477
0CXY75-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,120
0CZ2HG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,4177
0DLBHF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,2114
0DLC4M-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,903
0DZ84X-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,59
0FL5H4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,151
0G22LP-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,166
0G6BF8-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,11783
0GT5LZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,1551
0HK407-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,20310
0JD1LK-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,955
0JJQ11-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,3674
0JXR0C-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-09-30,416
000BPX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,46216
000BQ0-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,758219
000BQC-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,349868
000CC1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,104632
000CGW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,9302
000CKZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,696481
000CM9-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,6557578
000D7G-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,376441
000DRH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,113400
000DST-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,125
000F1B-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2080
000FF4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,633675
000FFR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,7830
000HGT-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,60224
000HJ9-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1081540
000HPH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,268833
000JND-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,133809
000JR0-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2080
000KJ7-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1340
000KLZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1692871
000KN8-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,167919
000KVL-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,18109
000LBW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,633
000LDT-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,6908
000NVY-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,957382
000NWQ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1952
000P8M-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,330200
000PC4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,51475
000PWG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,32608
000Q6S-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,4237957
000R4W-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,9147
000R9G-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,280824
000RFJ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3271182
000RGG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,31395
000RK0-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,6115
000T3H-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3870
000TNX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,8007920
000W64-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,48288
000WHF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,11073
000WWX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,14944780
000WX0-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,320855
000WX2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,10395923
000WXY-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,37278
000XKH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,42410
000Y63-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,13649
000YS6-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,13897
000ZDR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,4450
001091-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,138824
0010SV-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,6888
0011FZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,23329
0011M0-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3300
0011MF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,6789
0011MX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,128552
0011TZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2595
0011Y4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,41359
001207-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,19995
00121D-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,401
00128H-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,78826
0012DH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,10065
0012Q8-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,91334
0015D1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1455
0015RZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,18733
0016NV-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,155
00179W-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,26686
0019KF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,24810
001BC5-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,528369
001CVX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,195259
001CVY-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2684
001DCG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1009
001DYS-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2050
001FQ5-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,30
001GH2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,447613
001HBR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,50128
001HQW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1837641
001J5S-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,80724
001JJ6-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,107134
001JWR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,82828
001JZX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,21232
001K5G-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1600
001K97-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1984445
001LLD-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,25000
001LWB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,48311
001LWP-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1940
001LWQ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,420222
001MDY-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,55980
001MJ6-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,39465
001MYF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1800
001N0P-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3000
001NGJ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,127702
001NZM-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,822690
001PHW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1934
001R78-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,96992
001RLW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,504888
001RVZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,13424
001T29-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,201973
001T5F-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,138544
001TJR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2325
001WDR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,58512
001X1F-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,242315
001XJ8-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,40600
001XP1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,320
001XT4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,75733
001XTZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,22
001XW9-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1756
001Y7Z-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2900
001Y83-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,613067
001YNK-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,238
001YQQ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,675954
001YQZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,6721
001YT0-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,137970
001YWB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,111800
001YX3-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,23269
001ZF3-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,50543
00205T-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,9233
0020GL-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,187876
0020J6-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,4479
0021HG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,42269
0021HZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,58495
0022CW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,19724
0023LL-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1171
0024MZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,93838
0024Q5-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1194
0025QG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,34319
0027KF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1897
002B3Q-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,524700
002BFN-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,207
002BSH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,172402
002C1K-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,10200
002CDB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,527192
002D1S-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,21831
002DFS-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,16370
002DGD-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,4322
002DRR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,353927
002FPX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,12923
002FQB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,32603
002FTH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,361351
002FZ2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1661
002G2B-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3679
002G53-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,74419
002G5X-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,600
002G6D-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1557160
002G6W-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,15214
002G7V-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,48845
002G84-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,10110
002GB3-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,17025
002GBT-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2158
002GCJ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2271
002GF6-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,19775
002GG1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3391
002GG4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,5785
002GG9-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,25040
002GGK-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,13237
002GGR-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,12875
002GL7-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,17950
002GSP-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1931
002GTP-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,10449
002GTZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,26020
002GVB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,9780
002GVZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,9967
002GWD-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1351
002GZG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2011
002H07-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,21909
002H2F-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,9038
002H2Z-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,26903
002H3Q-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,29299
002H3S-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,49274
002H43-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,37139
002H51-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,10036
002H53-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,721314
002H57-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,23257
002H5C-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1610
002H5S-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,25165
002H5W-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2467
002H62-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1712
002H63-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,72462
002H7B-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,102666
002H7G-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,8774
002H7K-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1000
002H7S-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1520
002H83-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,35093
002H8L-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3000
002H9X-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,5689
002HB2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,475
002HB4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1750
002HBD-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,17780
002HBH-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,11616
002HCN-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1325
002HDL-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,9706
002HDS-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,14229
002HDX-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,25225
002HDZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,34490
002HGG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1183
002HGP-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,10419
002HGQ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,4515
002HGW-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,2500
002HJ2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,31260
002HJB-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1417398
002HJF-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1057
002HJJ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,900
002HJV-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,20719
002HK2-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,18770
002HKG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,5500
002HKT-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,3140
002HL1-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,677467
002HLG-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,6006
002HLL-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,158946
002HLZ-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,79000
002HMD-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,12863
002HN4-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,1344
002HNS-E,P7M7WC-S,AIR PRODUCTS & CHEMICALS INC  COM,2019-06-30,31125
